"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.240106923E0,5.087719560E-1,3.508771956E-2,-1.403508782E-1,5.289408476E-1
2.250000923E0,5.263158083E-1,1.754385978E-2,-1.228070185E-1,5.407380890E-1
2.260010769E0,5.263158083E-1,1.754385978E-2,-1.228070185E-1,5.407380890E-1
2.270000077E0,5.438596606E-1,1.754385978E-2,-1.052631587E-1,5.542305026E-1
2.280006923E0,5.614035130E-1,1.754385978E-2,-8.771929890E-2,5.684860304E-1
2.290008384E0,5.964912176E-1,0.000000000E0,-7.017543912E-2,6.006049991E-1
2.300279384E0,6.315789223E-1,0.000000000E0,-5.263157934E-2,6.337681107E-1
2.310010692E0,6.491228342E-1,0.000000000E0,-5.263157934E-2,6.512530515E-1
2.320000384E0,6.666666865E-1,0.000000000E0,-3.508771956E-2,6.675894090E-1
2.330688923E0,7.017543912E-1,0.000000000E0,-3.508771956E-2,7.026310366E-1
2.340045538E0,7.192982435E-1,0.000000000E0,-1.754385978E-2,7.195121612E-1
2.350020154E0,7.368420959E-1,0.000000000E0,0.000000000E0,7.368420959E-1
2.360006230E0,7.192982435E-1,0.000000000E0,0.000000000E0,7.192982435E-1
2.370025000E0,7.017543912E-1,0.000000000E0,1.754385978E-2,7.019736552E-1
2.382068692E0,6.315789223E-1,0.000000000E0,7.017543912E-2,6.354655988E-1
2.393669692E0,5.789473653E-1,0.000000000E0,8.771929890E-2,5.855550590E-1
2.400031154E0,5.789473653E-1,0.000000000E0,8.771929890E-2,5.855550590E-1
2.410003615E0,5.263158083E-1,0.000000000E0,1.052631587E-1,5.367389148E-1
2.420061230E0,4.736842215E-1,-1.754385978E-2,1.228070185E-1,4.896591595E-1
2.430077231E0,4.210526347E-1,-1.754385978E-2,1.228070185E-1,4.389472315E-1
2.441185307E0,3.684210479E-1,-3.508771956E-2,1.052631587E-1,3.847668764E-1
2.450001384E0,2.982456088E-1,-3.508771956E-2,1.052631587E-1,3.182167874E-1
2.460011384E0,2.280701697E-1,-5.263157934E-2,8.771929890E-2,2.499615187E-1
2.470534231E0,1.403508782E-1,-5.263157934E-2,7.017543912E-2,1.655084421E-1
2.480007077E0,3.508771956E-2,-5.263157934E-2,5.263157934E-2,8.228799640E-2
2.490018461E0,-1.754385978E-2,-7.017543912E-2,3.508771956E-2,8.039606542E-2
2.500223615E0,-1.052631587E-1,-7.017543912E-2,1.754385978E-2,1.277212271E-1
2.510071769E0,-2.105263174E-1,-8.771929890E-2,1.754385978E-2,2.287439457E-1
2.520000307E0,-3.157894611E-1,-8.771929890E-2,1.754385978E-2,3.282155484E-1
2.531036538E0,-4.035087824E-1,-8.771929890E-2,0.000000000E0,4.129334242E-1
2.540028538E0,-4.912280738E-1,-1.052631587E-1,0.000000000E0,5.023796902E-1
2.550013846E0,-6.140350699E-1,-1.052631587E-1,0.000000000E0,6.229922951E-1
2.560008615E0,-7.368420959E-1,-1.052631587E-1,0.000000000E0,7.443229184E-1
2.570008384E0,-8.771929741E-1,-8.771929890E-2,1.754385978E-2,8.817425793E-1
2.580006461E0,-1.017543912E0,-8.771929890E-2,3.508771956E-2,1.021920465E0
2.591174231E0,-1.122807026E0,-7.017543912E-2,3.508771956E-2,1.125544916E0
2.600893923E0,-1.192982435E0,-7.017543912E-2,3.508771956E-2,1.195559631E0
2.610003307E0,-1.210526347E0,-8.771929890E-2,3.508771956E-2,1.214207503E0
2.622019231E0,-1.263157845E0,-8.771929890E-2,3.508771956E-2,1.266686056E0
2.630077538E0,-1.350877166E0,-8.771929890E-2,5.263157934E-2,1.354744949E0
2.640007307E0,-1.421052575E0,-8.771929890E-2,5.263157934E-2,1.424729862E0
2.650013000E0,-1.508771896E0,-8.771929890E-2,5.263157934E-2,1.512235892E0
2.660855769E0,-1.596491218E0,-8.771929890E-2,7.017543912E-2,1.600438526E0
2.670678923E0,-1.684210539E0,-8.771929890E-2,8.771929890E-2,1.688773072E0
2.680011077E0,-1.736842155E0,-8.771929890E-2,1.052631587E-1,1.742238698E0
2.691004154E0,-1.771929860E0,-1.052631587E-1,1.052631587E-1,1.778172122E0
2.699999538E0,-1.771929860E0,-1.052631587E-1,1.228070185E-1,1.779296863E0
2.711658692E0,-1.771929860E0,-1.052631587E-1,1.403508782E-1,1.780593758E0
2.720045923E0,-1.736842155E0,-1.052631587E-1,1.403508782E-1,1.745680204E0
2.730688000E0,-1.684210539E0,-1.228070185E-1,1.578947306E-1,1.696047596E0
2.740002846E0,-1.631578922E0,-1.228070185E-1,1.754385978E-1,1.645572862E0
2.750814384E0,-1.578947425E0,-1.228070185E-1,1.929824501E-1,1.595430588E0
2.760007154E0,-1.526315808E0,-1.228070185E-1,2.105263174E-1,1.545652885E0
2.770018538E0,-1.456140399E0,-1.228070185E-1,2.280701697E-1,1.479000483E0
2.780067538E0,-1.403508782E0,-1.228070185E-1,2.456140369E-1,1.430120527E0
2.791595846E0,-1.333333373E0,-1.228070185E-1,2.631579041E-1,1.364592075E0
2.800023615E0,-1.263157845E0,-1.228070185E-1,2.807017565E-1,1.299785667E0
2.810010461E0,-1.228070140E0,-1.228070185E-1,2.807017565E-1,1.265713755E0
2.820016846E0,-1.192982435E0,-1.052631587E-1,2.631579041E-1,1.226189017E0
2.829999846E0,-1.175438643E0,-1.052631587E-1,2.631579041E-1,1.209127130E0
2.840024231E0,-1.175438643E0,-1.052631587E-1,2.631579041E-1,1.209127130E0
2.850998923E0,-1.157894731E0,-1.052631587E-1,2.631579041E-1,1.192079117E0
2.860002231E0,-1.157894731E0,-1.052631587E-1,2.631579041E-1,1.192079117E0
2.870082000E0,-1.157894731E0,-1.052631587E-1,2.631579041E-1,1.192079117E0
2.883440231E0,-1.157894731E0,-1.052631587E-1,2.631579041E-1,1.192079117E0
2.890265077E0,-1.140350819E0,-1.052631587E-1,2.807017565E-1,1.179098723E0
2.900009923E0,-1.087719321E0,-1.228070185E-1,2.982456088E-1,1.134533088E0
2.911083538E0,-1.052631617E0,-1.228070185E-1,3.157894611E-1,1.105819998E0
2.920020307E0,-1.035087705E0,-1.228070185E-1,3.333333433E-1,1.094348773E0
2.931519769E0,-1.000000000E0,-1.403508782E-1,3.157894611E-1,1.058027104E0
2.939999307E0,-9.473684430E-1,-1.403508782E-1,2.982456088E-1,1.003073167E0
2.950143384E0,-9.122806787E-1,-1.403508782E-1,2.807017565E-1,9.647527569E-1
2.960014154E0,-9.298245907E-1,-1.403508782E-1,2.631579041E-1,9.764856481E-1
2.970775923E0,-9.473684430E-1,-1.228070185E-1,2.456140369E-1,9.863644285E-1
2.980777692E0,-9.473684430E-1,-1.052631587E-1,2.280701697E-1,9.801037199E-1
2.989998231E0,-9.298245907E-1,-1.052631587E-1,2.105263174E-1,9.591534978E-1
3.000706692E0,-9.122806787E-1,-8.771929890E-2,1.929824501E-1,9.365857880E-1
3.009999384E0,-8.947368264E-1,-8.771929890E-2,1.754385978E-1,9.159843697E-1
