"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.629986308E0,-2.046081424E-2,1.028004289E-2,1.510190964E-1,1.527451854E-1
2.639992462E0,-1.534077525E-2,2.352058887E-3,1.540203094E-1,1.548002819E-1
2.651309462E0,-4.374593496E-3,-3.493905067E-3,1.550121307E-1,1.551132010E-1
2.660100077E0,-7.367223501E-3,-3.830194473E-4,1.560077667E-1,1.561820923E-1
2.670002000E0,-1.426345110E-2,1.353344321E-2,1.550149918E-1,1.562569928E-1
2.680730769E0,-1.711639762E-2,1.936450601E-2,1.510295868E-1,1.532249694E-1
2.690087385E0,-1.401007175E-2,9.334474802E-3,1.480340958E-1,1.489882815E-1
2.699985846E0,-9.961664677E-3,1.417219639E-3,1.490335464E-1,1.493728263E-1
2.710248692E0,-4.985123873E-3,7.416158915E-3,1.510324478E-1,1.512965669E-1
2.719985923E0,-2.048790455E-3,1.727288961E-2,1.480360031E-1,1.490543809E-1
2.729994846E0,-2.111226320E-3,1.614484191E-2,1.470394135E-1,1.479381705E-1
2.739987615E0,1.770436764E-3,9.118080139E-3,1.490364075E-1,1.493255657E-1
2.749994385E0,4.612356424E-3,9.090185165E-3,1.470308304E-1,1.473837521E-1
2.761394462E0,7.414162159E-3,9.062647820E-3,1.470241547E-1,1.474896723E-1
2.769996000E0,6.233692169E-3,5.088835955E-3,1.420154572E-1,1.422432608E-1
2.780004000E0,-8.732557297E-3,3.145009279E-3,1.450128555E-1,1.453095899E-1
2.789988616E0,-1.659017801E-2,2.216577530E-3,1.490163803E-1,1.499534222E-1
2.800147308E0,-8.564025164E-3,-6.695985794E-4,1.530122757E-1,1.532532134E-1
2.809993769E0,-1.638054848E-3,-3.513991833E-3,1.600017548E-1,1.600487204E-1
2.820079000E0,-4.668325186E-3,-2.376884222E-3,1.599950790E-1,1.600808176E-1
2.829987462E0,-1.061362028E-2,5.648255348E-3,1.499948502E-1,1.504759343E-1
2.839987000E0,-1.746028662E-2,9.615182877E-3,1.490039825E-1,1.503313013E-1
2.849988692E0,-1.730677485E-2,1.692771912E-3,1.470060349E-1,1.480309569E-1
2.859997000E0,-5.321174860E-3,-3.161579370E-3,1.429986954E-1,1.431325867E-1
2.869987923E0,3.538846970E-3,-1.048177481E-3,1.419887543E-1,1.420367152E-1
2.879999923E0,1.425623894E-3,7.943093777E-3,1.509838104E-1,1.511993259E-1
